StateCode,Jobs,TotalPeople
AK,ProfessionalPop,264786
AK,OfficePop,166775
AK,ConstructionPop,92913
AK,ProductionPop,80168
AK,ServicePop,128838
AL,OfficePop,1161333
AL,ProductionPop,787975
AL,ServicePop,812142
AL,ConstructionPop,485988
AL,ProfessionalPop,1582939
AR,ProductionPop,492507
AR,ProfessionalPop,934041
AR,OfficePop,702101
AR,ConstructionPop,321357
AR,ServicePop,508228
AZ,OfficePop,1735045
AZ,ConstructionPop,622389
AZ,ServicePop,1335880
AZ,ProductionPop,645540
AZ,ProfessionalPop,2307667
CA,ProductionPop,4309933
CA,OfficePop,9123455
CA,ProfessionalPop,14105574
CA,ServicePop,7254157
CA,ConstructionPop,3633941
CO,ServicePop,928496
CO,ProductionPop,476189
CO,ConstructionPop,501820
CO,ProfessionalPop,2114548
CO,OfficePop,1258725
CT,OfficePop,845786
CT,ServicePop,639991
CT,ProfessionalPop,1497834
CT,ProductionPop,344976
CT,ConstructionPop,265619
DC,ServicePop,98418
DC,OfficePop,112662
DC,ProfessionalPop,394318
DC,ProductionPop,23957
DC,ConstructionPop,18777
DE,ProductionPop,98613
DE,ServicePop,172184
DE,ProfessionalPop,352804
DE,ConstructionPop,79808
DE,OfficePop,223593
FL,OfficePop,5362687
FL,ConstructionPop,1798441
FL,ProductionPop,1791615
FL,ServicePop,4056972
FL,ProfessionalPop,6635525
GA,ProfessionalPop,3531472
GA,OfficePop,2472785
GA,ProductionPop,1354558
GA,ConstructionPop,935340
GA,ServicePop,1710901
HI,OfficePop,348703
HI,ProductionPop,121464
HI,ServicePop,319521
HI,ConstructionPop,137629
HI,ProfessionalPop,478983
IA,OfficePop,720701
IA,ConstructionPop,291896
IA,ServicePop,515318
IA,ProfessionalPop,1060129
IA,ProductionPop,505893
ID,OfficePop,388122
ID,ProductionPop,205427
ID,ProfessionalPop,535559
ID,ConstructionPop,196120
ID,ServicePop,291378
IL,ProductionPop,1805012
IL,ProfessionalPop,4719789
IL,ConstructionPop,946873
IL,ServicePop,2249523
IL,OfficePop,3152309
IN,ConstructionPop,583665
IN,ServicePop,1123582
IN,ProductionPop,1227412
IN,ProfessionalPop,2107419
IN,OfficePop,1528357
KS,OfficePop,663206
KS,ProductionPop,399623
KS,ConstructionPop,291307
KS,ProfessionalPop,1050565
KS,ServicePop,488530
KY,ProfessionalPop,1421364
KY,ProductionPop,749744
KY,ServicePop,744173
KY,ConstructionPop,437365
KY,OfficePop,1045258
LA,ProfessionalPop,1485360
LA,ServicePop,891313
LA,ProductionPop,578037
LA,ConstructionPop,569031
LA,OfficePop,1101437
MA,ServicePop,1186822
MA,ProfessionalPop,2946671
MA,OfficePop,1511143
MA,ConstructionPop,466859
MA,ProductionPop,593151
MD,ProductionPop,471880
MD,OfficePop,1342455
MD,ProfessionalPop,2624460
MD,ServicePop,1026315
MD,ConstructionPop,465818
ME,ProductionPop,153363
ME,ProfessionalPop,466645
ME,ConstructionPop,144843
ME,ServicePop,246833
ME,OfficePop,317463
MI,ConstructionPop,778487
MI,ProfessionalPop,3400016
MI,OfficePop,2348613
MI,ServicePop,1819648
MI,ProductionPop,1551963
MN,OfficePop,1249445
MN,ProductionPop,706906
MN,ConstructionPop,434157
MN,ServicePop,903122
MN,ProfessionalPop,2125718
MO,ProfessionalPop,2097501
MO,ProductionPop,817567
MO,ConstructionPop,543937
MO,ServicePop,1098908
MO,OfficePop,1487117
MS,ProductionPop,498419
MS,ConstructionPop,336380
MS,OfficePop,700470
MS,ProfessionalPop,917927
MS,ServicePop,535123
MT,OfficePop,229152
MT,ProfessionalPop,362650
MT,ProductionPop,96752
MT,ConstructionPop,130844
MT,ServicePop,195426
NC,OfficePop,2301367
NC,ProductionPop,1347654
NC,ProfessionalPop,3494053
NC,ServicePop,1756155
NC,ConstructionPop,945604
ND,ProductionPop,89356
ND,ServicePop,122791
ND,OfficePop,161501
ND,ConstructionPop,95632
ND,ProfessionalPop,252377
NE,ConstructionPop,191183
NE,ServicePop,312054
NE,ProfessionalPop,665405
NE,ProductionPop,252191
NE,OfficePop,448587
NH,ServicePop,209664
NH,ProfessionalPop,526166
NH,ProductionPop,148221
NH,ConstructionPop,119877
NH,OfficePop,320118
NJ,ServicePop,1499544
NJ,ConstructionPop,648106
NJ,ProfessionalPop,3619791
NJ,ProductionPop,932646
NJ,OfficePop,2203791
NM,ProductionPop,194203
NM,ServicePop,439580
NM,ConstructionPop,239697
NM,OfficePop,484703
NM,ProfessionalPop,726601
NV,ConstructionPop,246015
NV,ProfessionalPop,774224
NV,OfficePop,726634
NV,ServicePop,778097
NV,ProductionPop,273669
NY,ProfessionalPop,7611809
NY,OfficePop,4674111
NY,ServicePop,4050590
NY,ProductionPop,1882749
NY,ConstructionPop,1448676
OH,ConstructionPop,898999
OH,OfficePop,2760680
OH,ProductionPop,1841774
OH,ServicePop,2044605
OH,ProfessionalPop,4028487
OK,OfficePop,925961
OK,ProductionPop,516925
OK,ServicePop,683128
OK,ProfessionalPop,1268529
OK,ConstructionPop,454206
OR,OfficePop,925017
OR,ProductionPop,480946
OR,ServicePop,740110
OR,ProfessionalPop,1434851
OR,ConstructionPop,358616
PA,ProductionPop,1733567
PA,ProfessionalPop,4652584
PA,ConstructionPop,1058273
PA,ServicePop,2272892
PA,OfficePop,3060102
RI,ConstructionPop,76167
RI,OfficePop,257275
RI,ServicePop,213041
RI,ProfessionalPop,387534
RI,ProductionPop,119644
SC,OfficePop,1181996
SC,ConstructionPop,440901
SC,ProfessionalPop,1563519
SC,ServicePop,875135
SC,ProductionPop,716678
SD,ProductionPop,107383
SD,ConstructionPop,93142
SD,OfficePop,200248
SD,ServicePop,147654
SD,ProfessionalPop,294829
TN,ProfessionalPop,2162033
TN,OfficePop,1606029
TN,ProductionPop,1033667
TN,ConstructionPop,588022
TN,ServicePop,1109653
TX,OfficePop,6472481
TX,ProductionPop,3204093
TX,ServicePop,4753108
TX,ConstructionPop,2930113
TX,ProfessionalPop,9181588
UT,OfficePop,757912
UT,ProductionPop,363446
UT,ServicePop,455379
UT,ProfessionalPop,1065890
UT,ConstructionPop,260254
VA,ServicePop,1415089
VA,ProductionPop,816661
VA,ConstructionPop,712165
VA,OfficePop,1875394
VA,ProfessionalPop,3438769
VT,ServicePop,109111
VT,ProductionPop,67937
VT,ConstructionPop,64146
VT,ProfessionalPop,251634
VT,OfficePop,133906
WA,ProductionPop,803416
WA,ConstructionPop,694123
WA,ProfessionalPop,2672805
WA,ServicePop,1234760
WA,OfficePop,1580280
WI,ProfessionalPop,1968055
WI,ProductionPop,974927
WI,ServicePop,983615
WI,ConstructionPop,492545
WI,OfficePop,1322303
WV,ProductionPop,241995
WV,ServicePop,350098
WV,OfficePop,445472
WV,ConstructionPop,227783
WV,ProfessionalPop,586052
WY,ServicePop,102523
WY,ConstructionPop,93048
WY,ProfessionalPop,188723
WY,OfficePop,123285
WY,ProductionPop,72195
